IP	Protocol	Port	Service
179.189.84.42	tcp	8000	
179.189.84.42	tcp	8001	
179.189.84.42	tcp	8002	
179.189.84.43	tcp	179	bgp
179.189.84.43	tcp	2000	cisco-sccp
179.189.84.43	tcp	8081	tproxy
179.189.84.43	tcp	8291	
179.189.84.44	tcp	179	bgp
179.189.84.44	tcp	2000	cisco-sccp
179.189.84.44	tcp	8081	tproxy
179.189.84.44	tcp	8291	
179.189.84.45	tcp	24946	
179.189.84.45	tcp	37777	
179.189.84.45	tcp	554	rtsp
179.189.84.45	tcp	80	http
179.189.84.46	tcp	179	bgp
179.189.84.46	tcp	2000	cisco-sccp
179.189.84.46	tcp	8081	tproxy
179.189.84.46	tcp	8291	
179.189.84.47	tcp	179	bgp
179.189.84.47	tcp	2000	cisco-sccp
179.189.84.47	tcp	8081	tproxy
179.189.84.47	tcp	8291	
179.189.84.48	tcp	1371	
179.189.84.48	tcp	1372	
179.189.84.48	tcp	2000	cisco-sccp
179.189.84.48	tcp	21	ftp
179.189.84.48	tcp	22	ssh
179.189.84.48	tcp	23	telnet
179.189.84.48	tcp	33800	
179.189.84.48	tcp	33801	
179.189.84.48	tcp	37777	
179.189.84.48	tcp	37778	
179.189.84.48	tcp	554	rtsp
179.189.84.48	tcp	7000	afs3-fileserver
179.189.84.48	tcp	80	http
179.189.84.48	tcp	8291	
179.189.84.48	tcp	8728	
179.189.84.48	tcp	8729	
179.189.84.49	tcp	179	bgp
179.189.84.49	tcp	2000	cisco-sccp
179.189.84.49	tcp	8081	tproxy
179.189.84.49	tcp	8291	
179.189.84.5	tcp	179	bgp
179.189.84.5	tcp	2000	cisco-sccp
179.189.84.5	tcp	8081	tproxy
179.189.84.5	tcp	8291	
179.189.84.50	tcp	35149	
179.189.84.50	tcp	42305	
179.189.84.50	tcp	54521	
179.189.84.50	tcp	554	rtsp
179.189.84.50	tcp	80	http
179.189.84.50	tcp	8000	
179.189.84.51	tcp	30960	
179.189.84.51	tcp	37777	
179.189.84.51	tcp	53000	
179.189.84.51	tcp	554	rtsp
179.189.84.51	tcp	80	http
179.189.84.51	tcp	8000	
179.189.84.51	tcp	880	
179.189.84.52	tcp	554	rtsp
179.189.84.52	tcp	8000	
179.189.84.52	tcp	8090	
179.189.84.53	tcp	30960	
179.189.84.53	tcp	554	rtsp
179.189.84.53	tcp	80	http
179.189.84.53	tcp	8000	
179.189.84.53	tcp	8080	http-alt
179.189.84.53	tcp	9010	
179.189.84.53	tcp	9020	
179.189.84.54	tcp	80	http
179.189.84.55	tcp	2442	
179.189.84.55	tcp	80	http
179.189.84.56	tcp	135	epmap
179.189.84.56	tcp	1723	
179.189.84.56	tcp	4006	
179.189.84.56	tcp	443	https
179.189.84.56	tcp	445	microsoft-ds
179.189.84.56	tcp	47001	
179.189.84.56	tcp	49152	
179.189.84.56	tcp	49153	
179.189.84.56	tcp	49154	
179.189.84.56	tcp	49155	
179.189.84.56	tcp	49156	
179.189.84.56	tcp	49160	
179.189.84.56	tcp	49161	
179.189.84.56	tcp	5985	
179.189.84.56	tcp	80	http
179.189.84.56	tcp	8085	
179.189.84.56	tcp	8086	
179.189.84.56	tcp	9000	
179.189.84.57	tcp	80	http
179.189.84.58	tcp	30960	
179.189.84.58	tcp	38467	
179.189.84.58	tcp	42136	
179.189.84.58	tcp	44441	
179.189.84.58	tcp	50735	
179.189.84.58	tcp	53000	
179.189.84.58	tcp	55134	
179.189.84.58	tcp	554	rtsp
179.189.84.58	tcp	80	http
179.189.84.58	tcp	8000	
179.189.84.58	tcp	9010	
179.189.84.58	tcp	9020	
179.189.84.59	tcp	30960	
179.189.84.59	tcp	554	rtsp
179.189.84.59	tcp	7000	afs3-fileserver
179.189.84.59	tcp	8000	
179.189.84.59	tcp	9020	
179.189.84.6	tcp	179	bgp
179.189.84.6	tcp	2000	cisco-sccp
179.189.84.6	tcp	8081	tproxy
179.189.84.6	tcp	8291	
179.189.84.60	tcp	2000	cisco-sccp
179.189.84.60	tcp	2210	
179.189.84.60	tcp	2211	
179.189.84.60	tcp	8081	tproxy
179.189.84.60	tcp	8291	
179.189.84.61	tcp	179	bgp
179.189.84.61	tcp	2000	cisco-sccp
179.189.84.61	tcp	8081	tproxy
179.189.84.61	tcp	8291	
179.189.84.62	tcp	179	bgp
179.189.84.62	tcp	2000	cisco-sccp
179.189.84.62	tcp	8081	tproxy
179.189.84.62	tcp	8291	
179.189.84.65	tcp	179	bgp
179.189.84.65	tcp	2000	cisco-sccp
179.189.84.65	tcp	8081	tproxy
179.189.84.65	tcp	8291	
179.189.84.7	tcp	10001	
179.189.84.7	tcp	22	ssh
179.189.84.7	tcp	443	https
179.189.84.7	tcp	4524	
179.189.84.7	tcp	80	http
179.189.84.7	tcp	8000	
179.189.84.76	tcp	443	https
179.189.84.76	tcp	80	http
179.189.84.77	tcp	443	https
179.189.84.77	tcp	80	http
179.189.84.78	tcp	443	https
179.189.84.78	tcp	80	http
179.189.84.79	tcp	443	https
179.189.84.79	tcp	80	http
179.189.84.80	tcp	443	https
179.189.84.80	tcp	80	http
179.189.84.81	tcp	443	https
179.189.84.81	tcp	80	http
179.189.84.82	tcp	443	https
179.189.84.82	tcp	80	http
179.189.84.83	tcp	443	https
179.189.84.83	tcp	80	http
179.189.84.84	tcp	443	https
179.189.84.84	tcp	80	http
179.189.84.85	tcp	443	https
179.189.84.85	tcp	80	http
179.189.84.86	tcp	443	https
179.189.84.86	tcp	80	http
179.189.84.87	tcp	443	https
179.189.84.87	tcp	80	http
179.189.84.88	tcp	443	https
179.189.84.88	tcp	80	http
179.189.84.89	tcp	443	https
179.189.84.89	tcp	80	http
179.189.84.9	tcp	179	bgp
179.189.84.9	tcp	2000	cisco-sccp
179.189.84.9	tcp	8081	tproxy
179.189.84.9	tcp	8291	
179.189.84.90	tcp	443	https
179.189.84.90	tcp	80	http
179.189.84.91	tcp	443	https
179.189.84.91	tcp	80	http
179.189.84.92	tcp	443	https
179.189.84.92	tcp	80	http
179.189.84.93	tcp	443	https
179.189.84.93	tcp	80	http
179.189.84.94	tcp	443	https
179.189.84.94	tcp	80	http
179.189.84.96	tcp	179	bgp
179.189.84.96	tcp	2000	cisco-sccp
179.189.84.96	tcp	8081	tproxy
179.189.84.96	tcp	8291	
179.189.84.97	tcp	2000	cisco-sccp
179.189.84.97	tcp	8291	
